entity_id,date,crime_head,BriefFacts,split,crime_subhead,suggested_acts,suggested_sections
1586,2025-11-27,cybercrime,Incident of cybercrime reported at Yelahanka New Town. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1587,2024-10-30,chain_snatching,Incident of chain snatching reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1588,2024-08-09,vehicle_theft,Incident of vehicle theft reported at Hebbal Flyover Junction. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1589,2024-02-20,drug_offense,Incident of drug offense reported at Jayanagar 4th Block. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
1590,2026-05-21,burglary,Incident of burglary reported at Koramangala 5th Block. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1591,2025-10-20,cybercrime,Incident of cybercrime reported at Electronic City Phase 1. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1592,2025-10-27,burglary,Incident of burglary reported at MG Road Metro Junction. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1593,2023-05-13,women_crime,Incident of women crime reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
1594,2024-08-18,assault,Incident of assault reported at Malleshwaram 15th Cross. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1595,2025-06-04,fraud,Incident of fraud reported at Whitefield ITPL Area. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1596,2023-09-23,assault,Incident of assault reported at Koramangala 5th Block. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1597,2023-02-11,vehicle_theft,Incident of vehicle theft reported at Yelahanka New Town. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1598,2025-04-13,cybercrime,Incident of cybercrime reported at Hebbal Flyover Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1599,2024-12-08,robbery,Incident of robbery reported at Malleshwaram 15th Cross. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
1600,2026-05-06,chain_snatching,Incident of chain snatching reported at Yelahanka New Town. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1601,2023-11-03,cybercrime,Incident of cybercrime reported at Jayanagar 4th Block. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1602,2024-08-18,fraud,Incident of fraud reported at HSR Layout Sector 2. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1603,2024-10-16,vehicle_theft,Incident of vehicle theft reported at Electronic City Phase 1. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1604,2026-01-23,vehicle_theft,Incident of vehicle theft reported at Jayanagar 4th Block. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,General IPC Section,Indian Penal Code,Section 379 IPC
1605,2023-11-15,fraud,Incident of fraud reported at Jayanagar 4th Block. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1606,2024-08-07,robbery,Incident of robbery reported at Hebbal Flyover Junction. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
1607,2026-01-08,chain_snatching,Incident of chain snatching reported at Whitefield ITPL Area. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1608,2024-12-07,fraud,Incident of fraud reported at Whitefield ITPL Area. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1609,2025-12-02,drug_offense,Incident of drug offense reported at MG Road Metro Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
1610,2025-10-05,cybercrime,Incident of cybercrime reported at Koramangala 5th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1611,2024-02-08,chain_snatching,Incident of chain snatching reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1612,2025-02-24,vehicle_theft,Incident of vehicle theft reported at MG Road Metro Junction. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
1613,2024-06-16,assault,Incident of assault reported at Malleshwaram 15th Cross. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1614,2026-05-16,burglary,Incident of burglary reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1615,2024-12-20,vehicle_theft,Incident of vehicle theft reported at Indiranagar 100ft Rd. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1616,2025-01-03,chain_snatching,Incident of chain snatching reported at Whitefield ITPL Area. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1617,2025-04-19,vehicle_theft,Incident of vehicle theft reported at HSR Layout Sector 2. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
1618,2024-03-28,vehicle_theft,Incident of vehicle theft reported at Jayanagar 4th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1619,2024-10-15,fraud,Incident of fraud reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1620,2025-01-15,vehicle_theft,Incident of vehicle theft reported at HSR Layout Sector 2. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
1621,2026-01-14,burglary,Incident of burglary reported at Jayanagar 4th Block. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1622,2026-04-05,assault,Incident of assault reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1623,2023-10-03,burglary,Incident of burglary reported at Yelahanka New Town. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1624,2025-12-04,fraud,Incident of fraud reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1625,2024-11-23,chain_snatching,Incident of chain snatching reported at Yelahanka New Town. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1626,2025-12-05,vehicle_theft,Incident of vehicle theft reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
1627,2025-08-15,assault,Incident of assault reported at HSR Layout Sector 2. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1628,2025-06-22,women_crime,Incident of women crime reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
1629,2024-01-02,assault,Incident of assault reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1630,2024-07-10,robbery,Incident of robbery reported at Hebbal Flyover Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
1631,2025-08-10,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1632,2025-08-20,burglary,Incident of burglary reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1633,2024-01-02,cybercrime,Incident of cybercrime reported at Yelahanka New Town. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1634,2023-07-21,assault,Incident of assault reported at MG Road Metro Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1635,2024-07-26,women_crime,Incident of women crime reported at Yelahanka New Town. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
1636,2026-04-19,robbery,Incident of robbery reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for robbery,"Indian Penal Code, 1860",392
1637,2025-05-25,cybercrime,Incident of cybercrime reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1638,2024-11-16,cybercrime,Incident of cybercrime reported at MG Road Metro Junction. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1639,2024-03-09,rioting,Incident of rioting reported at Electronic City Phase 1. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for rioting,"Indian Penal Code, 1860",147
1640,2025-05-17,burglary,Incident of burglary reported at Electronic City Phase 1. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1641,2024-02-17,assault,Incident of assault reported at Hebbal Flyover Junction. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1642,2023-03-03,fraud,Incident of fraud reported at Indiranagar 100ft Rd. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1643,2025-03-16,women_crime,Incident of women crime reported at Yelahanka New Town. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
1644,2023-10-19,chain_snatching,Incident of chain snatching reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1645,2026-05-31,vehicle_theft,Incident of vehicle theft reported at Yelahanka New Town. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,General IPC Section,Indian Penal Code,Section 379 IPC
1646,2023-11-03,cybercrime,Incident of cybercrime reported at MG Road Metro Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1647,2023-05-18,burglary,Incident of burglary reported at MG Road Metro Junction. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1648,2025-12-15,murder,Incident of murder reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for murder,"Indian Penal Code, 1860",302
1649,2025-08-31,vehicle_theft,Incident of vehicle theft reported at Yelahanka New Town. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
1650,2025-01-07,cybercrime,Incident of cybercrime reported at Jayanagar 4th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1651,2025-09-02,vehicle_theft,Incident of vehicle theft reported at Electronic City Phase 1. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
1652,2023-09-09,rioting,Incident of rioting reported at Yelahanka New Town. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for rioting,"Indian Penal Code, 1860",147
1653,2023-10-15,robbery,Incident of robbery reported at HSR Layout Sector 2. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
1654,2026-03-16,cybercrime,Incident of cybercrime reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1655,2023-11-09,chain_snatching,Incident of chain snatching reported at Indiranagar 100ft Rd. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1656,2024-10-15,burglary,Incident of burglary reported at Hebbal Flyover Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1657,2023-04-04,assault,Incident of assault reported at Hebbal Flyover Junction. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1658,2026-01-03,burglary,Incident of burglary reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1659,2026-03-13,women_crime,Incident of women crime reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
1660,2025-08-11,assault,Incident of assault reported at Hebbal Flyover Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1661,2023-12-22,women_crime,Incident of women crime reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
1662,2026-03-25,cybercrime,Incident of cybercrime reported at Hebbal Flyover Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1663,2024-10-11,cybercrime,Incident of cybercrime reported at Koramangala 5th Block. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1664,2026-04-29,vehicle_theft,Incident of vehicle theft reported at Malleshwaram 15th Cross. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,General IPC Section,Indian Penal Code,Section 379 IPC
1665,2025-11-09,fraud,Incident of fraud reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1666,2024-06-21,robbery,Incident of robbery reported at MG Road Metro Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
1667,2023-11-16,robbery,Incident of robbery reported at Indiranagar 100ft Rd. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
1668,2023-06-08,drug_offense,Incident of drug offense reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
1669,2023-07-29,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1670,2024-02-14,cybercrime,Incident of cybercrime reported at Electronic City Phase 1. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1671,2024-02-28,burglary,Incident of burglary reported at Hebbal Flyover Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1672,2026-04-01,fraud,Incident of fraud reported at Malleshwaram 15th Cross. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1673,2026-02-27,cybercrime,Incident of cybercrime reported at Indiranagar 100ft Rd. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1674,2023-03-06,burglary,Incident of burglary reported at Electronic City Phase 1. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1675,2023-01-13,vehicle_theft,Incident of vehicle theft reported at Malleshwaram 15th Cross. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1676,2023-09-13,vehicle_theft,Incident of vehicle theft reported at Yelahanka New Town. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1677,2024-02-23,robbery,Incident of robbery reported at Jayanagar 4th Block. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
1678,2023-10-25,vehicle_theft,Incident of vehicle theft reported at Yelahanka New Town. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1679,2023-12-29,vehicle_theft,Incident of vehicle theft reported at Jayanagar 4th Block. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1680,2025-03-29,burglary,Incident of burglary reported at Jayanagar 4th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1681,2025-01-04,burglary,Incident of burglary reported at Koramangala 5th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
1682,2023-08-27,vehicle_theft,Incident of vehicle theft reported at Yelahanka New Town. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1683,2023-12-29,chain_snatching,Incident of chain snatching reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1684,2024-06-01,murder,Incident of murder reported at HSR Layout Sector 2. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for murder,"Indian Penal Code, 1860",302
1685,2025-10-23,cybercrime,Incident of cybercrime reported at MG Road Metro Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1686,2024-05-11,assault,Incident of assault reported at HSR Layout Sector 2. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1687,2024-04-25,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
1688,2024-05-07,vehicle_theft,Incident of vehicle theft reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
1689,2023-11-12,cybercrime,Incident of cybercrime reported at Malleshwaram 15th Cross. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
1690,2024-03-08,women_crime,Incident of women crime reported at Indiranagar 100ft Rd. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
1691,2023-12-03,chain_snatching,Incident of chain snatching reported at Indiranagar 100ft Rd. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
1692,2023-02-08,fraud,Incident of fraud reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
1693,2024-01-16,drug_offense,Incident of drug offense reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
